iso_year,iso_week,week_start,district,cases
2025,1,2024-12-30,Colombo,231
2025,1,2024-12-30,Gampaha,131
2025,1,2024-12-30,Kalutara,34
2025,1,2024-12-30,Kandy,76
2025,1,2024-12-30,Matale,34
2025,1,2024-12-30,Nuwara Eliya,10
2025,1,2024-12-30,Galle,25
2025,1,2024-12-30,Matara,26
2025,1,2024-12-30,Hambantota,21
2025,1,2024-12-30,Jaffna,76
2025,1,2024-12-30,Kilinochchi,5
2025,1,2024-12-30,Mannar,12
2025,1,2024-12-30,Vavuniya,2
2025,1,2024-12-30,Mullaitivu,4
2025,1,2024-12-30,Batticaloa,47
2025,1,2024-12-30,Ampara,15
2025,1,2024-12-30,Trincomalee,30
2025,1,2024-12-30,Kurunegala,26
2025,1,2024-12-30,Puttalam,23
2025,1,2024-12-30,Anuradhapura,12
2025,1,2024-12-30,Polonnaruwa,6
2025,1,2024-12-30,Badulla,19
2025,1,2024-12-30,Monaragala,13
2025,1,2024-12-30,Ratnapura,47
2025,1,2024-12-30,Kegalle,44
2025,2,2025-01-06,Colombo,200
2025,2,2025-01-06,Gampaha,186
2025,2,2025-01-06,Kalutara,65
2025,2,2025-01-06,Kandy,66
2025,2,2025-01-06,Matale,52
2025,2,2025-01-06,Nuwara Eliya,5
2025,2,2025-01-06,Galle,30
2025,2,2025-01-06,Matara,28
2025,2,2025-01-06,Hambantota,36
2025,2,2025-01-06,Jaffna,58
2025,2,2025-01-06,Kilinochchi,5
2025,2,2025-01-06,Mannar,11
2025,2,2025-01-06,Vavuniya,4
2025,2,2025-01-06,Mullaitivu,3
2025,2,2025-01-06,Batticaloa,62
2025,2,2025-01-06,Ampara,58
2025,2,2025-01-06,Trincomalee,28
2025,2,2025-01-06,Kurunegala,26
2025,2,2025-01-06,Puttalam,30
2025,2,2025-01-06,Anuradhapura,27
2025,2,2025-01-06,Polonnaruwa,14
2025,2,2025-01-06,Badulla,5
2025,2,2025-01-06,Monaragala,25
2025,2,2025-01-06,Ratnapura,30
2025,2,2025-01-06,Kegalle,64
2025,3,2025-01-13,Colombo,245
